species,genus,species_epithet,scientific_name,group,country,region,dive_site,site_type,sighting_date,year,month,n,ym
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2012-12-25,2012,12,2,2012-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Tachai,site,2025-12-25,2025,12,2,2025-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Seafan Forest,site,2012-12-20,2012,12,1,2012-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Shark Cave,site,2012-12-28,2012,12,2,2012-12-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Myanmar,Mergui,Mergui Archipelago,NA,2012-12-19,2012,12,1,2012-12-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2022-03-08,2022,3,1,2022-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Koh Torinla,site,2020-12-13,2020,12,1,2020-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2020-12-13,2020,12,1,2020-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,2020,12,1,2020-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,2020,12,1,2020-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Torinla,site,2020-12-12,2020,12,1,2020-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-04-17,2022,4,1,2022-04-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-04-17,2022,4,1,2022-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Koh Bon,site,2022-04-18,2022,4,1,2022-04-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-03-20,2022,3,1,2022-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-03-20,2022,3,1,2022-03-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Koh Chi,site,2022-03-16,2022,3,5,2022-03-01
cowtail stingray,Pastinachus,sephen,Pastinachus sephen,ray,Thailand,Similan,Shark Fin Reef,site,2022-03-16,2022,3,1,2022-03-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Similan,Three Trees,site,2025-02-18,2025,2,1,2025-02-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Similan,Three Trees,site,2025-02-22,2025,2,3,2025-02-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Bon,site,2025-02-22,2025,2,3,2025-02-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2022-10-16,2022,10,1,2022-10-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Richelieu Rock,site,2022-10-17,2022,10,6,2022-10-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-04-23,2022,4,1,2022-04-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Tachai,site,2022-10-27,2022,10,1,2022-10-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-03-25,2022,3,1,2022-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,Koh Bon,site,2022-03-26,2022,3,1,2022-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2022-03-25,2022,3,1,2022-03-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Koh Chi,site,2021-02-26,2021,2,1,2021-02-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2021-12-27,2021,12,2,2021-12-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Koh Torinla,site,2021-12-27,2021,12,1,2021-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Seafan Forest,site,2012-11-15,2012,11,1,2012-11-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Richelieu Rock,site,2014-01-20,2014,1,1,2014-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Richelieu Rock,site,2020-12-06,2020,12,1,2020-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Surin Islands,NA,2021-03-05,2021,3,1,2021-03-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2021-03-06,2021,3,1,2021-03-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,Koh Bon,site,2021-03-06,2021,3,4,2021-03-01
giant guitarfish,Rhynchobatus,spp,Rhynchobatus spp,ray,Thailand,Surin,Surin Islands,NA,2021-03-05,2021,3,1,2021-03-01
brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark,Myanmar,Mergui,Submarine,site,2019-10-25,2019,10,1,2019-10-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Shark Cave,site,2019-10-26,2019,10,1,2019-10-01
shark,Carcharhinidae,spp,Carcharhinidae spp,shark,Thailand,Phuket,Koh Bida Nok,site,2022-04-09,2022,4,5,2022-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Koh Lanta,Hin Daeng,site,2022-04-07,2022,4,1,2022-04-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Ba Wei,site,2023-12-10,2023,12,1,2023-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Shark Cave,site,2023-12-11,2023,12,1,2023-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Submarine,site,2023-12-11,2023,12,2,2023-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Western Rocky,site,2023-12-11,2023,12,3,2023-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Black Rock,site,2023-12-12,2023,12,2,2023-12-01
grey-spotted guitarfish,acroteriovatus,spp,acroteriovatus spp,ray,Myanmar,Mergui,Black Rock,site,2023-12-12,2023,12,7,2023-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,North Twin,site,2023-12-13,2023,12,1,2023-12-01
porcupine ray,Urogymnus,asperrimus,Urogymnus asperrimus,ray,Myanmar,Burma Banks,Burma Banks,NA,2023-12-14,2023,12,1,2023-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Burma Banks,Burma Banks,NA,2023-12-15,2023,12,5,2023-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Myanmar,Mergui,Western Rocky,site,2023-12-15,2023,12,3,2023-12-01
ray,Batidae,spp,Batidae spp,ray,Myanmar,Mergui,Secret Pinnacle,site,2023-12-16,2023,12,3,2023-12-01
bull shark,Carcharhinus,leucas,Carcharhinus leucas,shark,Myanmar,Mergui,Black Rock,site,2023-12-12,2023,12,1,2023-12-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2023-12-14,2023,12,12,2023-12-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Mergui,Black Rock,site,2023-12-14,2023,12,3,2023-12-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Myanmar,Mergui,Black Rock,site,2023-12-14,2023,12,1,2023-12-01
oceanic blacktip shark,Carcharhinus,limbatus,Carcharhinus limbatus,shark,Myanmar,Mergui,Black Rock,site,2023-12-15,2023,12,3,2023-12-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Mergui,Black Rock,site,2023-12-15,2023,12,3,2023-12-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Black Rock,site,2023-12-15,2023,12,10,2023-12-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2023-12-14,2023,12,10,2023-12-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Mergui,Black Rock,site,2012-12-15,2012,12,5,2012-12-01
grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark,Myanmar,Mergui,Black Rock,site,2012-12-15,2012,12,5,2012-12-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Myanmar,Mergui,Black Rock,site,2012-12-15,2012,12,3,2012-12-01
mobula ray,Mobula,spp,Mobula spp,ray,Thailand,Koh Lipe,8 Mile Rock,site,2021-12-12,2021,12,1,2021-12-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Koh Lanta,Koh Haa,site,2021-12-12,2021,12,1,2021-12-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Tachai,site,2024-04-21,2024,4,1,2024-04-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Tachai,site,2024-04-21,2024,4,1,2024-04-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Phuket,Koh Bida Nok,site,2024-03-26,2024,3,3,2024-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Seafan Forest,site,2020-02-08,2020,2,1,2020-02-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Burma Banks,Burma Banks,NA,2020-02-08,2020,2,1,2020-02-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-02-08,2020,2,1,2020-02-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-02-08,2020,2,5,2020-02-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-02-08,2020,2,3,2020-02-01
white-spotted wedgefish,Rhynchobatus,australiae,Rhynchobatus australiae,shark,Thailand,Surin,Surin Islands,NA,2018-04-12,2018,4,1,2018-04-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-10-30,2015,10,5,2015-10-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-10-30,2015,10,3,2015-10-01
zebra shark,Stegostoma,tigrinum,Stegostoma tigrinum,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-10-30,2015,10,1,2015-10-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-04-01,2015,4,1,2015-04-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-04,2015,1,3,2015-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-04,2015,1,2,2015-01-01
brown banded bamboo shark,Chiloscyllium,punctatum,Chiloscyllium punctatum,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-04,2015,1,7,2015-01-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-04,2015,1,7,2015-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Similan Islands,NA,2021-03-25,2021,3,1,2021-03-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Similan,Similan Islands,NA,2021-03-25,2021,3,5,2021-03-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Similan Islands,NA,2021-03-25,2021,3,5,2021-03-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Similan,Similan Islands,NA,2021-03-25,2021,3,1,2021-03-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-01-05,2019,1,6,2019-01-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-01-05,2019,1,1,2019-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Tachai,site,2020-12-21,2020,12,1,2020-12-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Thailand,Surin,Surin Islands,NA,2020-12-20,2020,12,1,2020-12-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Thailand,Similan,Shark Fin Reef,site,2020-12-22,2020,12,2,2020-12-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Richelieu Rock,site,2020-12-25,2020,12,1,2020-12-01
porcupine ray,Urogymnus,asperrimus,Urogymnus asperrimus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-03-25,2016,3,3,2016-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Thailand,Similan,North Ridge,site,2018-12-18,2018,12,1,2018-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Surin,Surin Islands,NA,2018-12-18,2018,12,1,2018-12-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Thailand,Similan,Koh Bon,site,2018-12-17,2018,12,1,2018-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,North Ridge,site,2018-12-16,2018,12,1,2018-12-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Surin Islands,NA,2018-12-18,2018,12,3,2018-12-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Thailand,Surin,Surin Islands,NA,2018-12-17,2018,12,5,2018-12-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2018-03-03,2018,3,5,2018-03-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2018-02-03,2018,2,2,2018-02-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Shark Cave,site,2018-02-01,2018,2,4,2018-02-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2018-02-02,2018,2,1,2018-02-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2020-02-08,2020,2,5,2020-02-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2020-02-10,2020,2,10,2020-02-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2020-02-11,2020,2,5,2020-02-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2018-04-05,2018,4,1,2018-04-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Black Rock,site,2018-04-05,2018,4,4,2018-04-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2016-01-25,2016,1,3,2016-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Shark Cave,site,2016-01-27,2016,1,3,2016-01-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Black Rock,site,2018-11-25,2018,11,2,2018-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2018-01-10,2018,1,3,2018-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-11-20,2016,11,3,2016-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2016-11-20,2016,11,5,2016-11-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Myanmar,Mergui,Mergui Archipelago,NA,2016-11-18,2016,11,4,2016-11-01
oceanic manta,Mobula,birostris,Mobula birostris,ray,Myanmar,Mergui,Mergui Archipelago,NA,2019-04-22,2019,4,1,2019-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-04-22,2019,4,1,2019-04-01
whale shark,Rhinocodon,typus,Rhinocodon typus,shark,Thailand,Surin,Surin Islands,NA,2015-01-28,2015,1,1,2015-01-01
ocellated eagle ray,Aetobatus,ocellatus,Aetobatus ocellatus,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-28,2015,1,1,2015-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-28,2015,1,5,2015-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2015-01-28,2015,1,3,2015-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Mergui Archipelago,NA,2015-12-04,2015,12,12,2015-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Similan,Elephant Head Rock,site,2024-01-25,2024,1,3,2024-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,Koh Bon,site,2024-01-26,2024,1,3,2024-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,Koh Bon,site,2024-01-26,2024,1,1,2024-01-01
whitetip reef shark,Triaenodon,obesus,Triaenodon obesus,shark,Thailand,Similan,Elephant Head Rock,site,2024-01-25,2024,1,5,2024-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Thailand,Similan,Elephant Head Rock,site,2024-01-25,2024,1,3,2024-01-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Similan,Elephant Head Rock,site,2024-01-25,2024,1,1,2024-01-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Surin,Richelieu Rock,site,2024-01-27,2024,1,1,2024-01-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Thailand,Similan,Elephant Head Rock,site,2020-11-18,2020,11,1,2020-11-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Myanmar,Burma Banks,Burma Banks,NA,2019-03-01,2019,3,1,2019-03-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Myanmar,Burma Banks,Burma Banks,NA,2019-11-01,2019,11,1,2019-11-01
tiger shark,Galeocerdo,cuvier,Galeocerdo cuvier,shark,Thailand,Surin,Surin Islands,NA,2019-12-01,2019,12,1,2019-12-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Mergui,Seafan Forest,site,2013-05-29,2013,5,3,2013-05-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Myanmar,Mergui,Square Rock,site,2013-05-29,2013,5,5,2013-05-01
grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark,Myanmar,Mergui,Square Rock,site,2013-05-29,2013,5,3,2013-05-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Shark Cave,site,2012-11-24,2012,11,3,2012-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Shark Cave,site,2012-11-24,2012,11,1,2012-11-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Mergui,Mergui Archipelago,NA,2019-01-20,2019,1,1,2019-01-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Phuket,Koh Bida Nok,site,2023-01-23,2023,1,1,2023-01-01
shark,Selachii,spp,Selachii spp,shark,Thailand,Similan,Similan Islands,NA,2021-12-25,2021,12,2,2021-12-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Thailand,Surin,Surin Islands,NA,2022-12-12,2022,12,3,2022-12-01
shark,Carcharhinidae,spp,Carcharhinidae spp,shark,Thailand,Surin,Surin Islands,NA,2022-12-12,2022,12,1,2022-12-01
jenkins' whipray,Pateobatis,jenkinsii,Pateobatis jenkinsii,ray,Thailand,Surin,Surin Islands,NA,2021-11-02,2021,11,3,2021-11-01
guitarfish,Rhinobatidae,spp,Rhinobatidae spp,ray,Thailand,Surin,Surin Islands,NA,2021-11-02,2021,11,1,2021-11-01
mobula ray,Mobula,spp,Mobula spp,ray,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,1,2020-01-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,3,2020-01-01
mangrove whipray,Urogymnus,granulatus,Urogymnus granulatus,ray,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,1,2020-01-01
bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,10,2020-01-01
ray,Batidae,spp,Batidae spp,ray,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,10,2020-01-01
nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,12,2020-01-01
silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,5,2020-01-01
grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark,Myanmar,Burma Banks,Burma Banks,NA,2020-01-31,2020,1,6,2020-01-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Similan,Koh Tachai,site,2024-02-11,2024,2,3,2024-02-01
coral catshark,Atelomycterus,marmoratus,Atelomycterus marmoratus,shark,Thailand,Koh Lipe,Koh Lipe,site,2024-02-15,2024,2,1,2024-02-01
blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark,Thailand,Phuket,Koh Bida Nok,site,2024-02-15,2024,2,5,2024-02-01
blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray,Thailand,Similan,Shark Fin Reef,site,2024-12-05,2024,12,1,2024-12-01
