species,sighting_date,dive_site,url,title,excerpt,validation,notes,n_observed,dive_site_std,site_type,country,region,species_std,genus,species_epithet,scientific_name,group
Mobula ray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"wtail and great barracuda, big eye, blue fin and golden trivally in big school and the visit from a Mobula during our safety stop ! Just WOW! What a fish soup for this dive ! Can’t wait for the next trip, m",valid,NA,1,Burma Banks,region,Myanmar,Burma Banks,mobula ray,Mobula,spp,Mobula spp,ray
Blotched Fantail Ray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ng in 40m visibility. We’ve seen loads of sharks, nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During th",valid,NA,3,Burma Banks,region,Myanmar,Burma Banks,blotched fantail ray,Taeniurops,meyeni,Taeniurops meyeni,ray
Mangrove Whipray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with th",valid,NA,1,Burma Banks,region,Myanmar,Burma Banks,mangrove whipray,Urogymnus,granulatus,Urogymnus granulatus,ray
Kuhl's stingray,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"bled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with the visit of a pod of around 20 dolphins.",valid,NA,10,Burma Banks,region,Myanmar,Burma Banks,bluespotted maskray,Neotrygon,kuhlii,Neotrygon kuhlii,ray
Rays,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ite, Dendro’s Peak for the last immersion of the trip. It was a pure festival of fishes and so many rays ! Chevron, yellowtail and great barracuda, big eye, blue fin and golden trivally in big school and",valid,NA,10,Burma Banks,region,Myanmar,Burma Banks,ray,Batidae,spp,Batidae spp,ray
Nurse Shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"a, we reach the banks easily and had 2 amazing day of diving in 40m visibility. We’ve seen loads of sharks, nurse, silver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’",valid,NA,12,Burma Banks,region,Myanmar,Burma Banks,nurse shark,Nebrius,ferrugineus,Nebrius ferrugineus,shark
Silvertip Shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"p, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with the visit of a",valid,NA,5,Burma Banks,region,Myanmar,Burma Banks,silvertip shark,Carcharhinus,albimarginatus,Carcharhinus albimarginatus,shark
Grey Reef Shark,2020-01-31,Burma Banks,https://www.thesmilingseahorse.com/blog/crazy-trip-in-the-mergui-archipelago,Crazy trip in the Mergui Archipelago - Diving liveaboard in Thailand and Myanmar,"ver tip, grey reef and some big marbled stingray, a huge mangrove whipray and many kuhl’s stingray. Nurse Shark at Burma Banks Marbled Ray During the surface interval, we are not in our rest with the visit of a",valid,NA,6,Burma Banks,region,Myanmar,Burma Banks,grey reef shark,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,shark
Blacktip Reef Shark,2024-02-11,Tachai Pinnacle,https://www.thesmilingseahorse.com/blog/dive-trip-report-andaman-north-and-south-from-the-9th-to-the-16th-february,Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,"Amidst the swaying Sea Fans and Hard Coral, we were treated to the awe-inspiring sight of Black Tip Sharks gracefully gliding in the depths. Fun Fact: Black Tip Sharks are known for their distinctive black",valid,NA,3,Koh Tachai,site,Thailand,Similan,blacktip reef shark,Carcharhinus,melanopterus,Carcharhinus melanopterus,shark
Coral Cat Shark,2024-02-15,Koh Lipe,https://www.thesmilingseahorse.com/blog/dive-trip-report-andaman-north-and-south-from-the-9th-to-the-16th-february,Blog about diving in Asia - Diving liveaboard in Thailand and Myanmar,"hin the coral crags and crevices. A highlight of the day was the tranquil sighting of the Coral Cat Shark, a testament to the pristine ecosystems that abound in these pristine waters.today and dive into a",valid,NA,1,Koh Lipe,site,Thailand,Koh Lipe,coral catshark�,Atelomycterus,marmoratus,Atelomycterus marmoratus,shark
